Recette,Quantité(s),,Produit(s),Magasin(s),Instructions pour la recette,Pimpage,Apports nutritifs,,,,Aliment,Poids,Apports nutritifs,,,Commentaires,,,,,,,,,,,,,,,Pancakes avec garnitures,,,,Épicierie
,2,c. à s.,Jus de citron,Primeur ou producteur,,,Glucides,"44,18966705",g,,1 tranche Jambon blanc,25 g,Calories,"29,25",kcal,,,,,,,,,,,,,,,,Poulet trappeur,,,,
,"0,25",c. à s. ,Huile d'olive,Épicerie,,,Calcium,"1384,390543",mg,,,,Protéines,"5,125",g,,,,,,,,,,,,,,,,Papillote de poisson aux légumes,,,,
,"0,25",,Bouquet garni,Primeur ou producteur,,,Vitamines C,"70,36483405",mg,,,,Lipides,"0,88",g,,,,,,,,,,,,,,,,Pavé de poisson à la normande,,,,
,,,Sel & Poivre,Épicerie,,,,,,,,,Glucides,"0,1925",g,,,,,,,,,,,,,,,,Couscous simplifié,,,,
Carottes râpées,1,,Carottes,Primeur ou producteur,"Râpez la carotte.

Faire la vinaigrette en mélangeant vinaigre, huile, jus de citron, sel et poivre. Mélangez les carottes avec la vinaigrette.",Ajoutez des graines de sésame grillées sur la salade pour la rendre plus jolie !,Calories,"91,925",kcal,,,,Calcium,"3,5",mg,,,,,,,,,,,,,,,,Chili con carne,,,,
,"0,5",c. à s. ,Huile d'olive,Épicerie,,,Protéines,"0,58815",g,,,,Vitamines C,"15,95",mg,suisse,,,,,,,,,,,,,,,Tomates farcies,,,,
,"0,25",c. à s. ,Vinaigre,Épicerie,,,Lipides,"7,63115",g,,Semoule moyenne,100 g,Calories,352,kcal,,,,,,,,,,,,,,,,Poulet basquaise,,,,
,"0,25",c. à s. ,Jus de citron,Primeur ou producteur,,,Glucides,"3,781",g,,,,Protéines,"10,9",g,,,,,,,,,,,,,,,,Poulet au curry,,,,
,,,Sel & Poivre,Épicerie,,,Calcium,"32,75275",mg,,,,Lipides,"1,25",g,,,,,,,,,,,,,,,,Curry de porc,,,,
,,,,,,,Vitamines C,"1,8855",mg,,,,Glucides,"71,6",g,,,,,,,,,,,,,,,,Fajitas,,,,
Tomates mozzarella,"0,666666667",,Tomates,Primeur ou producteur,"Découpez la mozzarella et les tomates en tranches. 

Intercalez les tranches de mozzarella entre les tranches de tomates sur le plat de service en les faisant se chevaucher. 

Préparez une vinaigrette avec l'huile d'olive, le vinaigre, le sel et le poivre, puis en asperger les tomates et la mozzarella.

Prélevez des feuilles de basilic frais et les émincer finement après les avoir rincées.
Parsemez les tomates de basilic.",Utilisez des tomates cœur de bœuf ou de différentes couleurs !,Calories,"198,5033396",kcal,,,,Calcium,"16,9",mg,,,,,,,,,,,,,,,,Hamburger,,,,
,"41,66666667",g,Mozzarella,Fromagerie,,,Protéines,"8,363650292",g,,,,Vitamines C,0,mg,,,,,,,,,,,,,,,,Rougail saucisse,,,,
,"1,5",tiges,Basilic,Primeur ou producteur,,,Lipides,"16,00841676",g,,1 Tomate,100 g,Calories,"18,4",kcal,,,,,,,,,,,,,,,,Hachis parmentier,,,,
,"0,5",c. à s. ,Huile d'olive,Épicerie,,,Glucides,"3,602084087",g,,,,Protéines,"0,86",g,,,,,,,,,,,,,,,,Croziflette,,,,
,"0,25",c. à s. ,Vinaigre,Épicerie,,,Calcium,"294,8027529",mg,,,,Lipides,"0,26",g,,,,,,,,,,,,,,,,Tartiflette,,,,
,,,Sel & Poivre,Épicerie,,,Vitamines C,"13,6133385",mg,,,,Glucides,"2,26",g,,,,,,,,,,,,,,,,Escalope de poulet aux champignons,,,,
Pastèque & melon,"0,25",,Melons,Primeur ou producteur,"Épluchez la pastèque et le melon, puis coupez-les en petits dés, ou avec des formes que vous désirez, et mélangez le tout dans un saladier.",Rajoutez de la menthe ou du gingembre dans la salade !,Calories,"158,84375",kcal,,,,Calcium,"8,14",mg,,,,,,,,,,,,,,,,Porc au caramel,,,,
,"0,0625",,Pastèques,Primeur ou producteur,,,Protéines,"3,18125",g,,,,Vitamines C,"15,5",mg,,,,,,,,,,,,,,,,Bœuf façon Strogonoff,,,,
,,,,,,,Lipides,"0,784375",g,,1 Concombre,400 g,Calories,"54,4",kcal,,,,,,,,,,,,,,,,Poulet mariné miel & moutarde,,,,
,,,,,,,Glucides,"32,56875",g,,,,Protéines,"2,56",g,,,,,,,,,,,,,,,,Poulet satay,,,,
,,,,,,,Calcium,"33,55",mg,,,,Lipides,"0,44",g,,,,,,,,,,,,,,,,Pot-au-feu,,,,
,,,,,,,Vitamines C,"93,21875",mg,,,,Glucides,"8,16",g,,,,,,,,,,,,,,,,Croquettes de poisson ou de poulet,,,,
"Radis, pain & beurre",6,,Radis,Primeur ou producteur,"Recette très simple, servez directement les radis, le beurre et le pain, les jeunes étant maitres de leur entrée ! C'est eux qui coupent leur pain en morceaux et tartinent le beurre dessus !","Quitte à prendre du beurre doux, utilisez de la fleur de sel à saupoudrer sur le pain beurré !",Calories,"256,715",kcal,,,,Calcium,"76,8",mg,,,,,,,,,,,,,,,,Paella,,,,
,"0,25",,Baguettes de pain,Boulangerie,,,Protéines,"5,87675",g,,,,Vitamines C,33,mg,,,,,,,,,,,,,,,,Riz cantonais,,,,
,10,g,Beurre,Épicerie,,,Lipides,"9,6725",g,,1 bouquet persil plat,100 g,Calories,"42,7",kcal,,,,,,,,,,,,,,,,Rouleaux de printemps,,,,
,,,,,,,Glucides,"34,674",g,,,,Protéines,"3,63",g,,,,,,,,,,,,,,,,Flammekueche au feu de bois,,,,
,,,,,,,Calcium,"33,54",mg,,,,Lipides,"0,63",g,,,,,,,,,,,,,,,,Pizza au feu de bois,,,,
,,,,,,,Vitamines C,"19,625",mg,,,,Glucides,"3,48",g,,,,,,,,,,,,,,,,Croque-monsieur,,,,
Œufs dur & mayonnaise,2,,Œufs,Épicerie,"Portez une casserole d'eau à ébullition, puis plongez-y les œufs pendant 9 minutes. Sortez-les de la casserole à l'aide d'un écumoire, puis écaillez-les.

Servez les simplement avec de la mayonnaise, les jeunes coupant les œufs et ajoutant la mayonnaise par eux-mêmes !","Faites la mayonnaise vous-même, et ajoutez-y quelques épices (piment d'Espelette, safran, persil, etc.. …)",Calories,"376,8",kcal,,,,Calcium,218,mg,,,,,,,,,,,,,,,,Omelette campagnarde,,,,
,2,c. à s.,Mayonnaise,Épicerie,,,Protéines,"15,648",g,,,,Vitamines C,177,mg,,,,,,,,,,,,,,,,Tartines,,,,
,,,Sel & Poivre,Épicerie,,,Lipides,"34,356",g,,1 bouquet coriandre fraîche,100 g,Calories,"22,3",kcal,,,,,,,,,,,,,,,,Truffade,,,,
,,,,,,,Glucides,"1,11",g,,,,Protéines,"2,13",g,,,,,,,,,,,,,,,,Fish and chips,,,,
,,,,,,,Calcium,"97,44",mg,,,,Lipides,"0,52",g,,,,,,,,,,,,,,,,Moussaka,,,,
