Recette,Quantité(s),,Produit(s),Magasin(s),Instructions pour la recette,Pimpage,Apports nutritifs,,,,Aliment,Poids,Apports nutritifs,,,Commentaires,,,,,,,,,,,,,,,Pancakes avec garnitures,,,,Épicierie
,,,,,,,Vitamines C,"0,15",mg,,,,Glucides,"0,87",g,,,,,,,,,,,,,,,,Haricots verts,,,,
Soupe de tomate aux lentilles,"41,66666667",g,Lentilles sèches,Primeur ou producteur,"Hachez l'ail, puis faites le revenir dans une casserole avec l'huile d'olive, le bouquet garni et le piment.

Coupez les tomates en petits morceaux, puis ajoutez-les dans la casserole.

Ajoutez les lentilles, et 2 fois plus d'eau que de lentilles, dans la casserole. Salez et poivrez, puis laissez cuire 15 minutes, jusqu'à ce que la soupe soit suffisamment épaisse.",Rajoutez du fromage râpé dans votre soupe !,Calories,"381,2530422",kcal,,,,Calcium,67,mg,,,,,,,,,,,,,,,,Pommes de terre grenaille,,,,
,"1,33333",,Tomates,Primeur ou producteur,,,Protéines,"13,97413256",g,,,,Vitamines C,27,mg,,,,,,,,,,,,,,,,Riz basmati aux oignons,,,,
,1,c. à s.,Huile d'olive,Épicerie,,,Lipides,"17,88877",g,,1 tige menthe,15 g,Calories,"8,655",kcal,,,,,,,,,,,,,,,,Pommes de terre sautées,,,,
,"0,5",,Gousses d'ail,Primeur ou producteur,,,Glucides,"34,10074176",g,,,,Protéines,"0,531",g,,,,,,,,,,,,,,,,Écrasé de pommes de terre/carottes,,,,
,"0,25",,Bouquets garnis,Épicerie,,,Calcium,"372,7344999",mg,,,,Lipides,"0,126",g,,,,,,,,,,,,,,,,Gratin dauphinois,,,,
,"0,25",c. à c.,Piment d'Espelette,Épicerie,,,Vitamines C,"35,79291617",mg,,,,Glucides,"0,795",g,,,,,,,,,,,,,,,,Carottes au cumin,,,,
,,,Sel & Poivre,Épicerie,,,,,,,,,Calcium,"33,15",mg,,,,,,,,,,,,,,,,Poêlée de légumes,,,,
Soupe de légumes,"0,333333333",,Carottes,Primeur ou producteur,"Pelez les gousses d'ail et l'oignon et hachez-les. Épluchez les carottes, les pommes de terre et les navets et coupez-les en morceaux. Émincez les poireaux.

Mettez tous les légumes dans le fond d'une marmite, puis arrosez-le avec de l'eau, de façon à tout juste recouvrir les légumes. Ajoutez le sel et le poivre, couvrez, portez à ébullition, puis laissez mijoter environ 40 minutes.

Salez et poivrez de nouveau à votre convenance.","Ajoutez du bouillon de légume ou de viande fait à base des épluchures, des fanes ou des carcasses lors de la cuisson des légumes !",Calories,"78,06666003",kcal,,,,Vitamines C,"3,39",mg,,,,,,,,,,,,,,,,Polenta,,,,
,"0,333333333",,Pommes de terre,Primeur ou producteur,,,Protéines,"2,616833105",g,,1 Betterave rouge,300 g,Calories,"141,6",kcal,,,,,,,,,,,,,,,,Gnocchis,,,,
,"0,333333333",,Poireaux,Primeur ou producteur,,,Lipides,"0,4456666407",g,,,,Protéines,"5,52",g,,,,,,,,,,,,,,,,Tagliatelles,,,,
,"0,333333333",,Navets,Primeur ou producteur,,,Glucides,"13,43249884",g,,,,Lipides,"0,54",g,,,,,,,,,,,,,,,,Blé,,,,
,"0,333333333",,Gousses d'ail,Primeur ou producteur,,,Calcium,"74,87499326",mg,,,,Glucides,"25,68",g,,,,,,,,,,,,,,,,Boulgour,,,,
,"0,166666667",,Oignons,Primeur ou producteur,,,Vitamines C,"29,4933305",mg,,,,Calcium,"57,3",mg,,,,,,,,,,,,,,,,Quinoa,,,,
,,,Sel & Poivre,Épicerie,,,,,,,,,Vitamines C,"10,8",mg,,,,,,,,,,,,,,,,Épi de maïs au feu,,,,
Soupe d'orties,175,g,Orties,Primeur ou producteur,"Coupez les orties et les laisser au sol 15 min pour ne pas se piquer. Retirez les tiges. Lavez puis hachez les feuilles, les faire revenir dans l'huile d'olive jusqu'à ce qu'elles soient fondues. Ajoutez l'eau, et attendez l'ébullition.

Écrasez les orties après cuisson, ajoutez la crème fraîche et assaisonnez selon votre convenance.",Rajoutez du fromage local râpé dans votre soupe !,Calories,"308,5",kcal,,1 échalote,15 g,Calories,"10,74",kcal,,,,,,,,,,,,,,,,Ratatouille,,,,
,25,ml,Crème fraîche épaisse,Épicerie,,,Protéines,"10,2425",g,,,,Protéines,"0,3195",g,,,,,,,,,,,,,,,,Tian de légumes,,,,
,"3,125",ml,Eau,,,,Lipides,"23,85",g,,,,Lipides,"0,075",g,,,,,,,,,,,,,,,,Haricots blancs/rouges,,,,
,1,c. à s.,Huile d'olive,Épicerie,,,Glucides,"12,9725",g,,,,Glucides,"2,025",g,,,,,,,,,,,,,,,,Semoule,,,,
,,,Sel & Poivre,Épicerie,,,Calcium,"1122,1105",mg,,,,Calcium,"4,2",mg,,,,,,,,,,,,,,,,Pad thaï,,,,
,,,,,,,Vitamines C,"582,875",mg,,,,Vitamines C,"0,3375",mg,,,,,,,,,,,,,,,,Salade verte,,,,
Soupe de pois,"83,33333333",g,Pois cassés,Primeur ou producteur,"Épluchez et lavez tous les légumes, et émincez-les. Rincez les pois cassés, et les égoutter dans une passoire. Hachez finement les oignons et les gousses d'ail. 

Dans une grande cocotte, faire revenir les oignons et l'ail avec l'huile d'olive. Ajoutez les légumes réservés, et les cuire pour qu'ils deviennent translucides. Ajoutez les pois cassés, versez de l'eau froide jusqu'à hauteur des légumes, et ajoutez le bouquet garni. Laissez cuire une petite heure à la reprise de l'ébullition.

Une fois les légumes cuits, retirer le bouquet garni, et écrasez le tout. Ajoutez la crème, rectifiez l'assaisonnement.","Ajoutez du bouillon de légumes ou de viande fait à base des épluchures, des fanes ou des carcasses lors de la cuisson des légumes !",Calories,"455,4583335",kcal,,pousses de soja,100 g,Calories,"30,5",kcal,,,,,,,,,,,,,,,,Fromage local,,,,
,"0,166666667",,Carottes,Primeur ou producteur,,,Protéines,"21,24908334",g,,,,Protéines,"2,57",g,,,,,,,,,,,,,,,,Salade de fraises,,,,
,"0,166666667",,Oignons,Primeur ou producteur,,,Lipides,"13,25166667",g,,,,Lipides,"0,5",g,,,,,,,,,,,,,,,,Brochettes de fruits,,,,
,"0,333333333",,Gousses d'ail,Primeur ou producteur,,,Glucides,"52,72316668",g,,,,Glucides,"3,4",g,,,,,,,,,,,,,,,,Salade de fruits,,,,
,"0,166666667",,Bouquets garnis,Épicerie,,,Calcium,"280,9035838",mg,,,,Calcium,16,mg,,,,,,,,,,,,,,,,Fondue au chocolat,,,,
,10,ml,Crème fraîche épaisse,Épicerie,,,Vitamines C,"11,15416668",mg,,,,Vitamines C,"4,13",mg,,,,,,,,,,,,,,,,Oranges rôties,,,,
,"0,5",c. à s.,Huile d'olive,Épicerie,,,,,,,maïs,100 g,Calories,"78,6",kcal,,,,,,,,,,,,,,,,Pommes rôties,,,,
,,,Sel & Poivre,Épicerie,,,,,,,,,Protéines,"3,36",g,,,,,,,,,,,,,,,,Poêlée de fruits aux épices et aux herbes,,,,
Fondue à la tomate,"1,5",,Tomates,Primeur ou producteur,"Hachez l'ail et l'oignon. Faites les revenir avec l'huile d'olive dans une grande casserole, ils ne doivent pas  se colorer. Hachez-les tomates et ajoutez-les dans la casserole.

Retirez du feu, râpez-le fromage et ajoutez-le dans la casserole, en remuant constamment. Portez très lentement presque à l'ébullition, en remuant constamment, jusqu'à ce que le fromage soit fondu. Salez et poivrez selon goût.

Servez immédiatement, comme pour une fondue, avec le pain.","Au lieu de simplement utiliser du pain, coupez-le en morceaux et faites-le revenir dans du beurre, de l'ail et des herbes pour en faire des croûtons !",Calories,"549,1666527",kcal,,,,Lipides,"1,5",g,,,,,,,,,,,,,,,,Crumble de fruits,,,,
,"29,16666667",g,Emmental,Fromagerie,,,Protéines,"23,92324982",g,,,,Glucides,"11,7",g,,,,,,,,,,,,,,,,Clafoutis aux fruits,,,,
,"29,16666667",g,Comté,Fromagerie,,,Lipides,"31,34436653",g,,,,Calcium,3,mg,,,,,,,,,,,,,,,,Tarte tatin cuite au feu,,,,
,1,c. à s.,Huile d'olive,Épicerie,,,Glucides,"39,89341382",g,,,,Vitamines C,"5,5",mg,,,,,,,,,,,,,,,,Pain perdu,,,,
,"0,25",,Oignons,Primeur ou producteur,,,Calcium,"601,6921616",mg,,1 carotte,100 g,Calories,19,kcal,,,,,,,,,,,,,,,,Semoule au lait,,,,
,"0,333333333",,Gousses d'ail,Primeur ou producteur,,,Vitamines C,"28,99482176",mg,,,,Protéines,"0,55",g,,,,,,,,,,,,,,,,Crème dessert fait-maison,,,,
,"0,25",,Baguettes de pain,Boulangerie,,,,,,,,,Lipides,"0,1",g,,,,,,,,,,,,,,,,Gâteau de semoule,,,,
,,,Sel & Poivre,Épicerie,,,,,,,,,Glucides,"2,6",g,,,,,,,,,,,,,,,,Marbré fait-maison,,,,
Nems,3,,Galettes de riz,Épicerie,"Hachez les oignons et l'ail, épluchez et coupez-les carottes en fines lamelles et coupez l'échine de porc en fines lamelles.

Faites revenir l'ail et les oignons dans une poêle avec l'huile d'olive et la sauce soja, puis ajoutez-les carottes, puis l'échine lorsque les carottes commencent à être fondantes. Finissez la cuisson jusqu'à ce que l'échine soit cuite.

Faites tremper une galette dans de l'eau tiède 20-30 secondes, en la retournant jusqu'à ce qu'elle se ramollisse. Posez-la délicatement sur un torchon propre et séchez-la légèrement (il faut qu'elle reste humide). Déposez les légumes avec l'échine en bas de la galette, puis ajoutez les pousses de soja et la menthe. Commencez par rouler par le bas la galette, et à mi-chemin, repliez les bords au centre, puis finissez de rouler la galette.

Faites cuire les nems dans l'huile neutre, juste avant de les servir.

Option végétarienne : enlevez l'échine de porc, et ajoutez de l'œuf en omelette à la place.",Vous pouvez ajouter des cacahuètes ou des noix de cajou dans la farce du nem !,Calories,"543,404",kcal,,,,Calcium,"31,5",mg,,,,,,,,,,,,,,,,Tiramisu,,,,
,"0,5",,Carottes,Primeur ou producteur,,,Protéines,"12,8191",g,,,,Vitamines C,1,mg,,,,,,,,,,,,,,,,Poires au chocolat,,,,
,45,g,Échine de porc,Boucherie,,,Lipides,"45,48065",g,,Pois chiches cuits,100 g,Calories,147,kcal,,,,,,,,,,,,,,,,Rice pudding,,,,
,"0,25",,Oignons,Primeur ou producteur,,,Glucides,"18,93385",g,,,,Protéines,"8,31",g,,,,,,,,,,,,,,,,Porridge,,,,
,30,g,Pousses de soja,Primeur ou producteur,,,Calcium,"144,81775",mg,,,,Lipides,3,g,,,,,,,,,,,,,,,,Mousse au chocolat,,,,
,"0,25",,Gousses d'ail,Primeur ou producteur,,,Vitamines C,"7,4595",mg,,,,Glucides,"17,7",g,,,,,,,,,,,,,,,,Chaussons aux fruits,,,,
,1,tiges,Menthe,Épicerie,,,,,,,,,Calcium,72,mg,,,,,,,,,,,,,,,,Sandwich aux courgettes et aux aubergines,,,,
,"0,5",c. à s.,Huile d'olive,Épicerie,,,,,,,,,Vitamines C,"0,5",mg,,,,,,,,,,,,,,,,Sandwich tomates-capres,,,,
,2,c. à s.,Huile neutre,Épicerie,,,,,,,1 tomates cerises,15 g,Calories,"3,21",kcal,,,,,,,,,,,,,,,,Sandwich chèvre-miel & herbes,,,,
,"0,5",c. à c.,Sauce soja,Épicerie,,,,,,,,,Protéines,"0,12",g,,,,,,,,,,,,,,,,Sandwich jambon-beurre,,,,
,,,Sel & Poivre,Épicerie,,,,,,,,,Lipides,"0,06",g,,,,,,,,,,,,,,,,Sandwich jambon-fromage,,,,
Samoussas,"1,5",,Feuilles de brick,Épicerie,"Hachez très finement les oignons, les carottes et l'ail. Dans une poêle à feu vif, faites-les revenir dans de l'huile d'olive. Ajoutez la viande de bœuf et laissez dorer un peu. Assaisonnez avec le curry, le sel et le poivre. Bien mélanger et laisser cuire à feu doux 2 à 3 minutes.

Répartissez la farce dans les feuilles de brick (2 samoussas par feuille) et procéder au pliage (souvent expliqué sur les paquets de feuilles de brick). Collez le dernier revers avec l'œuf battu.

Faites cuire dans un fond d'huile neutre, 2 minutes de chaque côté. En fin de cuisson, déposez les samoussas sur une assiette avec du papier absorbant afin de retirer l'excès d'huile de cuisson.

Option végétarienne : remplacez le bœuf par des pousses de soja ou des vermicelles de riz.",Ajoutez des cacahuètes dans la farce !,Calories,"577,167",kcal,,,,Glucides,"0,45",g,,,,,,,,,,,,,,,,Sandwich poulet-moutarde,,,,
,75,g ,Viande hachée,Boucherie,,,Protéines,"22,23915",g,,,,Calcium,"1,65",mg,,,,,,,,,,,,,,,,Sandwichs estival,,,,
,"0,3",,Carottes,Primeur ou producteur,,,Lipides,"39,5931",g,,,,Vitamines C,"4,2",mg,,,,,,,,,,,,,,,,Sandwich thon tomate,,,,
,"0,3",,Oignons,Primeur ou producteur,,,Glucides,"30,68406",g,,Feta,100 g,Calories,242,kcal,suisse,,,,,,,,,,,,,,,Club sandwich,,,,
,"0,3",,Gousses d'ail,Primeur ou producteur,,,Calcium,"111,41475",mg,,,,Protéines,"14,8",g,,,,,,,,,,,,,,,,Pan bagnat revisité,,,,
,"0,6",c. à c.,Curry en poudre,Épicerie,,,Vitamines C,"2,3349",mg,,,,Lipides,"22,8",g,,,,,,,,,,,,,,,,Bahn Mi,,,,
,1,,Œufs,Épicerie,,,,,,,,,Glucides,"2,5",g,,,,,,,,,,,,,,,,Wraps au thon,,,,
,"0,5",c. à s.,Huile d'olive,Épicerie,,,,,,,,,Calcium,318,mg,,,,,,,,,,,,,,,,Wraps au poulet,,,,
,1,c. à s.,Huile neutre,Épicerie,,,,,,,,,Vitamines C,0,mg,,,,,,,,,,,,,,,,Salade dent de lion,,,,
,,,Sel & Poivre,Épicerie,,,,,,,Olives noires,100 g,Calories,152,kcal,suisse,,,,,,,,,,,,,,,Pop-corn au feu,,,,
Fougasse,125,g,Farine,Épicerie,"Versez dans un grand saladier la farine, le sel, la levure, l'huile et un peu d'eau. Pétrissez la pâte à la main en y ajoutant le reste de l'eau au fur et à mesure. Remettez-la dans le saladier et couvrez-le d'un torchon. Attendez que la pâte double ou triple de volume pendant 1h30 de pause, puis retirez-la du saladier et pétrissez-la de nouveau afin de chasser l'air qui se trouve à l'intérieur.

Coupez la pâte en deux dans le sens de la largeur. Aplatissez-la  jusqu'à 1 centimètre d'épaisseur avec la paume de votre main que vous aurez aspergé d'huile. Incisez la pâte de six traits en biais comme les nervures d'une feuille de chaque côté. Mettez l'emmental râpé par-dessus la pâte.

Faites cuire votre fougasse au feu sans flamme, sur une grille en retournant la fougasse régulièrement, pendant 10 à 15 minutes.","Ajoutez des garnitures dans la fougasse comme des olives ou des tomates séchées, ainsi que des herbes de Provence !",Calories,"723,3",kcal,,,,Protéines,"1,38",g,,,,,,,,,,,,,,,,Chamallows fait maison,,,,
,40,ml,Eau,,,,Protéines,"18,0575",g,,,,Lipides,"17,2",g,,,,,,,,,,,,,,,,Chamallows fait maison,,,,
,"2,5",g,Levure boulangère fraîche,Boulangerie,,,Lipides,"29,44175",g,,,,Glucides,"0,1",g,,,,,,,,,,,,,,,,,,,,
,"1,5",c. à s. ,Huile d'olive,Épicerie,,,Glucides,"95,3225",g,,,,Calcium,80,mg,,,,,,,,,,,,,,,,,,,,
,20,g,Fromage râpé,Fromagerie,,,Calcium,"218,87825",mg,,,,Vitamines C,"0,5",mg,,,,,,,,,,,,,,,,,,,,
,,,Sel & Poivre,Épicerie,,,Vitamines C,"0,1075",mg,,1 Oignon rouge,150 g,Calories,"58,5",kcal,,,,,,,,,,,,,,,,,,,,
Bruschetta tomate-basilic,"0,75",,Tomates,Primeur ou producteur,"Épluchez les gousses d'ail. Frottez l'ail sur les tranches de pain, versez un filet d'huile d'olive et faites-les griller sur une grille, sur le feu, durant quelques minutes, jusqu'à ce que le pain soit doré et croustillant.
 
Lavez les tomates. Les épépiner et les couper en morceaux. Dans un bol, mettez les tomates, un peu d'huile d'olive, du sel et du poivre, puis mélangez. Récupérez les tranches de pain du feu, disposez les tomates sur le dessus et dégustez.",Ajoutez des feuilles de basilic hachées ou de la mozzarella sur la bruschetta !,Calories,"377,05",kcal,,,,Protéines,"1,65",g,,,,,,,,,,,,,,,,,,,,
,"0,25",,Gousses d'ail,Primeur ou producteur,,,Protéines,"6,747",g,,,,Lipides,"0,93",g,,,,,,,,,,,,,,,,,,,,
,2,tranches,Pain de mie,Boulangerie,,,Lipides,"18,68515",g,,,,Glucides,"9,375",g,,,,,,,,,,,,,,,,,,,,
,1,c. à s. ,Huile d'olive,Épicerie,,,Glucides,"42,5485",g,,,,Calcium,"37,5",mg,,,,,,,,,,,,,,,,,,,,
,,,Sel & Poivre,Épicerie,,,Calcium,"104,4755",mg,,,,Vitamines C,"5,85",mg,,,,,,,,,,,,,,,,,,,,
,,,,,,,Vitamines C,"12,493",mg,,Bleu (fromage),100 g,Calories,333,kcal,,,,,,,,,,,,,,,,,,,,
Blinis et garnitures,"0,25",,Yaourts,Épicerie,"Mélangez les yaourts, les œufs, la farine et la levure chimique, assaisonnez et laissez reposer la pâte 1 heure à l'ombre.

Faites cuire les blinis sur une poêle avec un petit peu d'huile ou de beurre, et les retourner lorsque des trous apparaissent sur la face crue.

Servir les blinis avec les garnitures, et laisser les jeunes se servir et tartiner les garnitures sur leurs blinis.","N'hésitez pas à faire vous-même vos garnitures (houmous, tapenade, tzatzíki, etc. …) !",Calories,"171,66875",kcal,,,,Protéines,"19,9",g,,,,,,,,,,,,,,,,,,,,
,1,,Œufs,Épicerie,,,Protéines,"10,552625",g,,,,Lipides,"28,3",g,,,,,,,,,,,,,,,,,,,,
,"0,125",sachets,Levure chimique,Épicerie,,,Lipides,"6,938",g,,,,Glucides,0,g,,,,,,,,,,,,,,,,,,,,
,"18,75",g,Farine,Épicerie,,,Glucides,"17,205125",g,,,,Calcium,494,mg,,,,,,,,,,,,,,,,,,,,
,50,g,Garnitures salées,Épicerie,,,Calcium,"200,405",mg,,,,Vitamines C,0,mg,,,,,,,,,,,,,,,,,,,,
,,,Sel & Poivre,Épicerie,,,Vitamines C,"0,103125",mg,,1 Endive,150 g,Calories,"31,2",kcal,,,,,,,,,,,,,,,,,,,,
Légumes à croquer et garnitures,"0,333333333",,Concombres,Primeur ou producteur,"Épluchez les légumes, puis coupez-les concombres et les carottes en lamelles. 

Servez-les avec les garnitures, et laissez les jeunes se servir en légumes et en garnitures","N'hésitez pas à faire vous-même vos garnitures (houmous, tapenade, tzatzíki, etc. …) !",Calories,"27,88666664",kcal,,,,Protéines,"1,65",g,,,,,,,,,,,,,,,,,,,,
,"0,333333333",,Carottes,Primeur ou producteur,,,Protéines,"1,264666666",g,,,,Lipides,"0,3",g,,,,,,,,,,,,,,,,,,,,
,3,,Radis,Primeur ou producteur,,,Lipides,"0,2099999998",g,,,,Glucides,"4,725",g,,,,,,,,,,,,,,,,,,,,
,50,g,Garnitures salées,Épicerie,,,Glucides,"3,958666663",g,,,,Calcium,"35,85",mg,,,,,,,,,,,,,,,,,,,,
,,,,,,,Calcium,"45,69999996",mg,,,,Vitamines C,"2,25",mg,,,,,,,,,,,,,,,,,,,,
,,,,,,,Vitamines C,"19,58333332",mg,,1 Pomme,140 g,Calories,77,kcal,suisse,,,,,,,,,,,,,,,,,,,
Pancakes avec garnitures,"62,5",g,Farine,Épicerie,"Tamisez la farine et la levure dans un saladier. Ajoutez le sucre, le sucre vanillé et le sel. Creusez un puit dans le mélange, ajoutez les œufs, le beurre fondu et un peu de lait puis travaillez la pâte. Mouillez progressivement avec le reste du lait jusqu'à ce que la pâte forme un ruban.

Ensuite, faites cuire les pancakes dans une petite poêle beurrée bien chaude. Versez une demie louche de préparation et faites cuire 2 à 3 minutes le temps que des bulles se forment à la surface. Retournez et faites cuire 2 minutes sur l'autre face.","N'hésitez pas à faire vous-même vos garnitures (confiture, beurre de cacahuète, compote, pâte à tartiner, etc. …) !",Calories,"478,2825",kcal,,,,Protéines,"0,35",g,,,,,,,,,,,,,,,,,,,,
,"12,5",g,Beurre,Épicerie,,,Protéines,"12,88795",g,,,,Lipides,"0,35",g,,,,,,,,,,,,,,,,,,,,
,"18,75",g,Sucre,Épicerie,,,Lipides,"15,11675",g,,,,Glucides,"16,24",g,,,,,,,,,,,,,,,,,,,,
,"0,5",,Œufs,Épicerie,,,Glucides,"71,765",g,,,,Calcium,"7,476",mg,,,,,,,,,,,,,,,,,,,,
,100,ml,Lait,Épicerie,,,Calcium,"332,106875",mg,,,,Vitamines C,"8,75",mg,,,,,,,,,,,,,,,,,,,,
,"0,2",sachets,Levure chimique,Épicerie,,,Vitamines C,"1,39",mg,,1 Noix,7 g,Calories,"49,63",kcal,,,,,,,,,,,,,,,,,,,,
,50,g,Garnitures sucrées,Épicerie,,,,,,,,,Protéines,"0,931",g,,,,,,,,,,,,,,,,,,,,
Boules d'énergie,12,g,Flocons d'avoine,Épicerie,"Il suffit de mettre tous les ingrédients dans un saladier et de mélanger le tout à la main.

Une fois la préparation homogène, formez des petites boules dans le creux de votre main. Réservez ensuite la préparation au frais quelques heures pour que les boules se figent bien.","N'hésitez pas à changer les ingrédients solides par d'autres (noisettes, noix, amandes, etc. …) !",Calories,"401,6211319",kcal,,,,Lipides,"4,711",g,,,,,,,,,,,,,,,,,,,,
,"7,333333333",g,Noix de coco,Épicerie,,,Protéines,"84,64727287",g,,,,Glucides,"0,4816",g,,,,,,,,,,,,,,,,,,,,
,"17,33333333",g,Beurre de cacahuète,Épicerie,,,Lipides,"95,81900325",g,,,,Calcium,"5,25",mg,,,,,,,,,,,,,,,,,,,,
,12,g,Graines de sésame,Épicerie,,,Glucides,"106,4530715",g,,,,Vitamines C,"0,0539",mg,,,,,,,,,,,,,,,,,,,,
,1,c. à s.,Miel,Épicerie,,,Calcium,"225,0799683",mg,,Crème fraîche épaisse,100 g = 100 mL,Calories,295,kcal,,,,,,,,,,,,,,,,,,,,
,"13,33333333",g,Pépites de chocolat,Épicerie,,,Vitamines C,"79,63647328",mg,,,,Protéines,"2,47",g,,,,,,,,,,,,,,,,,,,,
Compote de fruit fait-maison,100,g,Fruits abimés ou vieux,Primeur ou producteur,"Lavez et épluchez vos fruits. Coupez-les en cubes et mettez-les dans une cocotte ou grande casserole. Ajoutez un peu d'eau, le sucre et le beurre. Laissez cuire 15 minutes environ.

Si vous aimez les compotes avec morceaux, laissez-la comme ça, sinon écrasez votre compote à la fourchette.","N'hésitez pas à ajouter des épices dans votre compote (cannelle, vanille, etc. …) !",Calories,"134,55",kcal,,,,Lipides,"30,5",g,,,,,,,,,,,,,,,,,,,,
,20,g,Sucre,Épicerie,,,Protéines,"0,05775",g,,,,Glucides,"2,19",g,,,,,,,,,,,,,,,,,,,,
,"7,5",g,Beurre,Épicerie,,,Lipides,"6,0375",g,,,,Calcium,"76,9",mg,,,,,,,,,,,,,,,,,,,,
,,,,,,,Glucides,"19,98125",g,,,,Vitamines C,"0,5",mg,,,,,,,,,,,,,,,,,,,,
,,,,,,,Calcium,"2,118",mg,,1 botte Ciboulette fraîche,100 g,Calories,"29,9",kcal,,,,,,,,,,,,,,,,,,,,
,,,,,,,Vitamines C,0,mg,,,,Protéines,"2,62",g,,,,,,,,,,,,,,,,,,,,
Crêpes,"62,5",g,Farine,Épicerie,"Mettez la farine dans un saladier avec le sucre. Faites un puits au milieu et versez-y les œufs. Commencez à mélanger doucement. Quand le mélange devient épais, ajoutez le lait froid petit à petit. Quand tout le lait est mélangé, la pâte doit être assez fluide. Si elle vous paraît trop épaisse, rajoutez un peu de lait. Ajoutez ensuite le beurre fondu refroidi, mélangez bien.

Faites cuire les crêpes dans une poêle chaude légèrement huilée. Versez une petite louche de pâte dans la poêle, faites un mouvement de rotation pour répartir la pâte sur toute la surface. Posez sur le feu et quand le tour de la crêpe se colore en roux clair, il est temps de la retourner. Laissez cuire environ une minute de ce côté et la crêpe est prête.","N'hésitez pas à ajouter des garnitures faits maison (confiture, beurre de cacahuète, compote, pâte à tartiner, etc. …) !",Calories,"475,45",kcal,,,,Lipides,"0,52",g,,,,,,,,,,,,,,,,,,,,
,1,,Œufs,Épicerie,,,Protéines,"17,47875",g,,,,Glucides,"2,1",g,,,,,,,,,,,,,,,,,,,,
,125,ml,Lait,Épicerie,,,Lipides,"18,45425",g,,,,Calcium,"92,8",mg,,,,,,,,,,,,,,,,,,,,
